Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Dew Point Units,DHI Units,DNI Units,GHI Units,Temperature Units,Pressure Units,Wind Direction Units,Wind Speed,Surface Albedo Units,Version
NSRDB,1090006,-,-,-,36.01,-78.94,-5,120,-5,c,w/m2,w/m2,w/m2,c,mbar,Degrees,m/s,N/A,3.0.1
Year,Month,Day,Hour,Minute,DHI,DNI,GHI,Dew Point,Surface Albedo,Wind Direction,Wind Speed,Temperature,Pressure,
2002,1,1,0,30,0,0,0,-6,0.123,42.6,0.6000000000000001,0,1000,N/A
2002,1,1,1,30,0,0,0,-6,0.123,17,0.6000000000000001,-1,1000,N/A
2002,1,1,2,30,0,0,0,-6,0.123,359,0.4,-2,1000,N/A
2002,1,1,3,30,0,0,0,-7,0.123,347.70000000000005,0.30000000000000004,-3,1000,N/A
2002,1,1,4,30,0,0,0,-8,0.123,347.20000000000005,0.30000000000000004,-4,1000,N/A
2002,1,1,5,30,0,0,0,-9,0.123,353.5,0.30000000000000004,-4,1000,N/A
2002,1,1,6,30,0,0,0,-9,0.123,357.8,0.30000000000000004,-5,1000,N/A
2002,1,1,7,30,0,0,0,-9,0.123,358.40000000000003,0.4,-4,1000,N/A
2002,1,1,8,30,46,605,151,-9,0.123,6.300000000000001,0.6000000000000001,-2,1000,N/A
2002,1,1,9,30,66,794,321,-11,0.123,13.200000000000001,0.6000000000000001,0,1000,N/A
2002,1,1,10,30,77,877,456,-11,0.123,7.6000000000000005,0.5,1,1000,N/A
2002,1,1,11,30,83,914,538,-11,0.123,353.90000000000003,0.5,2,1000,N/A
2002,1,1,12,30,83,924,559,-11,0.123,343.5,0.5,3,1000,N/A
2002,1,1,13,30,79,911,516,-11,0.123,340.5,0.5,3,1000,N/A
2002,1,1,14,30,71,862,414,-12,0.123,340.20000000000005,0.5,3,1000,N/A
2002,1,1,15,30,58,755,264,-11,0.123,343.1,0.4,1,1000,N/A
2002,1,1,16,30,34,498,91,-8,0.123,350.20000000000005,0.30000000000000004,-1,1000,N/A
2002,1,1,17,30,0,0,0,-9,0.123,1,0.30000000000000004,-3,1000,N/A
2002,1,1,18,30,0,0,0,-10,0.123,12.4,0.30000000000000004,-4,1000,N/A
2002,1,1,19,30,0,0,0,-10,0.123,22.700000000000003,0.30000000000000004,-4,1000,N/A
2002,1,1,20,30,0,0,0,-10,0.123,28.8,0.2,-4,1010,N/A
2002,1,1,21,30,0,0,0,-10,0.123,29.400000000000002,0.2,-5,1010,N/A
2002,1,1,22,30,0,0,0,-10,0.123,19.3,0.2,-4,1010,N/A
2002,1,1,23,30,0,0,0,-10,0.123,17.900000000000002,0.2,-3,1010,N/A
2002,1,2,0,30,0,0,0,-9,0.123,17.7,0.2,-3,1010,N/A
2002,1,2,1,30,0,0,0,-9,0.123,12.600000000000001,0.2,-3,1010,N/A
2002,1,2,2,30,0,0,0,-9,0.123,17.5,0.2,-3,1010,N/A
2002,1,2,3,30,0,0,0,-8,0.123,17.5,0.2,-3,1010,N/A
2002,1,2,4,30,0,0,0,-8,0.123,29.3,0.30000000000000004,-3,1010,N/A
2002,1,2,5,30,0,0,0,-8,0.123,25,0.30000000000000004,-3,1010,N/A
2002,1,2,6,30,0,0,0,-7,0.123,23.200000000000003,0.30000000000000004,-3,1010,N/A
2002,1,2,7,30,0,0,0,-7,0.123,18.7,0.30000000000000004,-3,1010,N/A
2002,1,2,8,30,64,82,78,-7,0.123,14.5,0.4,-2,1010,N/A
2002,1,2,9,30,127,46,142,-8,0.123,34.800000000000004,0.5,-1,1010,N/A
2002,1,2,10,30,174,38,191,-8,0.123,42.800000000000004,0.5,0,1010,N/A
2002,1,2,11,30,211,51,237,-9,0.123,49.1,0.4,0,1010,N/A
2002,1,2,12,30,105,0,105,-10,0.123,45.7,0.4,0,1010,N/A
2002,1,2,13,30,148,0,148,-10,0.123,38.300000000000004,0.4,0,1010,N/A
2002,1,2,14,30,129,0,129,-10,0.123,29.1,0.4,0,1000,N/A
2002,1,2,15,30,95,0,95,-10,0.123,30.400000000000002,0.30000000000000004,0,1000,N/A
2002,1,2,16,30,32,0,32,-9,0.123,29.400000000000002,0.2,0,1000,N/A
2002,1,2,17,30,0,0,0,-6,0.123,27,0.2,-1,1000,N/A
2002,1,2,18,30,0,0,0,-6,0.123,23.1,0.2,-1,1000,N/A
2002,1,2,19,30,0,0,0,-6,0.866,26.3,0.2,-2,1000,N/A
2002,1,2,20,30,0,0,0,-6,0.866,38.1,0.30000000000000004,-2,1000,N/A
2002,1,2,21,30,0,0,0,-6,0.866,38,0.30000000000000004,-2,1000,N/A
2002,1,2,22,30,0,0,0,-5,0.866,28.400000000000002,0.4,-3,1000,N/A
2002,1,2,23,30,0,0,0,-5,0.866,19.8,0.5,-3,1000,N/A
2002,1,3,0,30,0,0,0,-5,0.866,11.4,0.6000000000000001,-3,1000,N/A
2002,1,3,1,30,0,0,0,-5,0.866,8,0.6000000000000001,-3,1000,N/A
2002,1,3,2,30,0,0,0,-5,0.866,5,0.7000000000000001,-3,1000,N/A
